"Position","Author Name","Review Title"
1,"Стас К.","Дуже навіть непогані"
2,"Евдокія Б.","Все добре"
3,"Сергієнко Л.","Товар отримано, все як на фото, після використання додам"
4,"Юрій К.","Все добре дякую"
5,"Ольга В.","малького розміру"
6,"Олена К.","Хорошее качество,спасибо"
7,"Руслан П.","Чудово"
8,"Анна Б.","ціна-якість"
9,"Александр Г.","Все ОК"
10,"Олександр І.","добре"
11,"Тетяна Н.","За таку ціну, навіть не погана якість"
12,"Оксана П.","Капсулы для рраннч"
13,"Яна С.","супер, капсули,і чисто і пахне."
14,"Алла М.","Добре"
15,"Ніна Ш.","супер"
16,"Сергій Л.","хороший рекомендую"
17,"Єгор П.","Все чудово. Дякую."
18,"Володимир С.","супер"
19,"оксана б.","капсули дуже класні.рекомендую"
20,"Сергей З.","Товар хороший, но обслуживание нет"
21,"Геннадий С.","я задоволений"
22,"Анжела П.","сподобались, добре перуть"
23,"Юлия С.","дякую"
24,"Мирослава Г.","Рекомендую"
25,"Надія С.","Чудово👍🏻"
26,"Гавриленко В.","чудово все"
27,"Даніїл П.","Чудово"
28,"Людмила С.","Добре"
29,"юрій р.","дуже добре"
30,"Наталія Д.","чудово"
31,"Олександр М.","чудово"
32,"Юлія Д.","Задоволена замовленням"
33,"Олег В.","якісний товар"
34,"Олена С.","Задоволена"
35,"ганна г.","чудовий"
36,"Алексей","все ок"
37,"Евгений З.","Гарна якість"
38,"Денис Н.","Чудово"
39,"Гріша М.","Товар відпрвідає ціні"
40,"Василь Л.","Чудово"
41,"Оксана Б.","супер"
42,"Віта Г.","Рекомендую"
43,"Покупець","капсули для прання"
44,"Віталія Б.","супер капсули"
45,"Александр В.","Гарна ціна"
46,"Оксана К.","супер"
47,"Юлия С.","отличные капсулы"
48,"Антон П.","Супер"
49,"Светлана З.","Дуже хороший пральний порошок"
50,"Іван С.","класний аромат"
